Company,Valuation ($B),Date Joined,Country,City,Industry,Select Investors
Virta Health,$2.00,2/12/2020,United States,San Francisco,Healthcare & Life Sciences,"Caffeinated Capital, Obvious Ventures, Venrock"
ISN,$2.00,17/12/2020,United States,Dallas,Industrials,Blackstone
Earnix,$2.00,21/02/2021,Israel,Giv'atayim,Insurance,"Jerusalem Venture Partners, Israel Growth Partners, Insight Partners"
Clearco,$2.00,20/04/2021,Canada,Toronto,Financial Services,"Highland Capital Partners, Oak HC/FT Partners, Emergence Capital Partners"
Hive,$2.00,21/04/2021,United States,San Francisco,Enterprise Tech,"Tomales Bay Capital, Bain & Company, General Catalyst"
Kry,$2.00,27/04/2021,Sweden,Stockholm,Healthcare & Life Sciences,"Index Ventures, Creandum, Accel"
Kajabi,$2.00,4/05/2021,United States,Irvine,Media & Entertainment,"Meritech Capital Partners, Tiger Global Management, Spectrum Equity"
Ethos,$2.70,11/05/2021,United States,San Francisco,Insurance,"Sequoia Capital, Google Ventures, Accel"
PayFit,$2.10,6/01/2022,United Kingdom,London,Enterprise Tech,"Accel, frst, Kima Ventures"
Beisen,$2.00,11/05/2021,China,Beijing,Enterprise Tech,"Matrix Partners China, Sequoia Capital China, Genesis Capital"
Pipe,$2.00,19/05/2021,United States,Miami,Financial Services,"next47, MaC Venture Capital, FinVC"
Iterable,$2.00,15/06/2021,United States,San Francisco,Enterprise Tech,"CRV, Blue Cloud Ventures, Index Ventures"
Astronergy,$1.82,25/07/2023,China,Haining,Industrials,
Bunq,$1.80,18/06/2021,Netherlands,Amsterdam,Financial Services,Undisclosed
Quest Global,$1.80,8/08/2023,,Singapore,Industrials,
Clip,$2.00,10/06/2021,Mexico,Mexico City,Financial Services,"Alta Ventures Mexico, General Atlantic, SoftBank Group"
Loggi,$2.00,5/06/2019,Brazil,Sao Paulo,Industrials,"Qualcomm Ventures, SoftBank Group. Monashees+"
MURAL,$2.00,20/07/2021,United States,San Francisco,Enterprise Tech,"Insight Partners, Tiger Global Management, Gradient Ventures"
OCSiAl,$2.00,4/03/2019,Luxembourg,Leudelange,Industrials,"A&NN, Rusnano"
Divvy Homes,$2.00,13/08/2021,United States,San Francisco,Financial Services,"Andreessen Horowitz, Caffeinated Capital, SciFi VC"
Apeel Sciences,$2.00,26/05/2020,United States,Goleta,Consumer & Retail,"Upfront Ventures, Tao Capital Partners, Andreessen Horowitz"
Opay,$2.00,23/08/2021,Nigeria,Lagos,Financial Services,"Sequoia Capital China, Source Code Capital, Redpoint Ventures China"
Aviatrix,$2.00,8/09/2021,United States,Santa Clara,Enterprise Tech,"Ignition Partners, Formation 8, CRV"
SmartNews,$2.00,5/08/2019,Japan,Tokyo,Media & Entertainment,"Japan Post Capital, Globis Capital Partners, Atomico"
Misfits Market,$2.00,21/04/2021,United States,Pennsauken,Consumer & Retail,"Accel, D1 Capita Partners, Greenoaks Capital Management"
Advance Intelligence Group,$2.00,23/09/2021,Singapore,,Financial Services,"Vision Plus Capital, GSR Ventures, ZhenFund"
Modern Treasury,$2.00,6/10/2021,United States,San Francisco,Financial Services,"Benchmark, Altimeter Capital, Quiet Capital"
Magic Leap,$2.00,21/10/2014,United States,Plantation,Enterprise Tech,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz"
ClickHouse,$2.00,28/10/2021,United States,Portola Valley,Enterprise Tech,"Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital"
Everlaw,$2.00,10/03/2020,United States,Oakland,Enterprise Tech,"K9 Ventures, Menlo Ventures, Andreessen Horowitz"
Zilch,$2.00,10/11/2021,United Kingdom,London,Financial Services,"Gauss Ventures, Ventura Capital, dmg ventures"
VerbIT,$2.00,8/06/2021,United States,New York,Enterprise Tech,"ClalTech, Vertex Ventures, Oryzn Capital"
StarkWare,$8.00,17/11/2021,Israel,Netanya,Enterprise Tech,"Sequoia Capital, Paradigm, Pantera Capital"
Netlify,$2.00,17/11/2021,United States,San Francisco,Enterprise Tech,"Andreessen Horowitz, Kleiner Perkins Caufield & Byers, EQT Ventures"
LTK,$2.00,22/11/2021,United States,Dallas,Media & Entertainment,"SoftBank Group, Maverick Capital"
Trax,$2.00,22/07/2019,Singapore,,Consumer & Retail,"Hopu Investment Management, Boyu Capital, DC Thomson Ventures"
Exotec,$2.00,17/01/2022,France,Croix,Industrials,"Breega Capital, Iris Capital, 360 Capital Partners"
Dremio,$2.00,6/01/2021,United States,Santa Clara,Enterprise Tech,"Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners"
Akulaku,$2.00,15/02/2022,Indonesia,Jakarta,Financial Services,"DCM Ventures, IDG Capital, Siam Commercial Bank"
Cloudinary,$2.00,15/02/2022,United States,Santa Clara,Media & Entertainment,"Blackstone, Bessemer Venture Partners"
Lunar,$2.00,12/07/2021,Denmark,Aarhus,Financial Services,"SEED Capital, Greyhound Capital, Socii Capital"
UpGrad,$2.25,9/08/2021,India,Mumbai,Consumer & Retail,"Qualcomm Ventures, Accel, Canaan Partners"
Salsify,$2.00,13/04/2022,United States,Boston,Consumer & Retail,"Matrix Partners, North Bridge Venture Partners, Venrock"
CertiK,$2.00,31/03/2022,United States,New York,Enterprise Tech,"Tiger Global Management, Lightspeed Venture Partners, Hillhouse Capital Management"
ROX Motor,$2.00,29/04/2022,China,Shanghai,Industrials,"Sequoia Capital China, IDG Capital, Qiming Venture Partners"
Devo Technology,$2.00,26/10/2021,United States,Cambridge,Enterprise Tech,"Insight Partners, Kibo Ventures, Bessemer Venture Partners"
ShiftKey,$2.00,11/01/2023,United States,Dallas,Healthcare & Life Sciences,Health Velocity Capital
Rimac Automobili,$2.00,1/06/2022,Croatia,Sveta Nedelja,Industrials,"Porsche, InvestIndustrial, SoftBank Group"
Geek+,$2.00,21/11/2018,China,Beijing,Industrials,"Volcanics Ventures, Vertex Ventures China, Warburg Pincus"
21.co,$2.00,6/09/2022,United States,New York,Financial Services,"Quiet Ventures, ETFS Capital, Collab+Currency"
Solugen,$2.00,10/09/2021,United States,Houston,Industrials,"Fifty Years Fund, Refactor Capital, Temasek"
